411051.88 285157
411088.27 285141.4
411228.64 285089.41
411343.02 285063.42
411488.59 285053.02
411665.34 285027.03
411878.49 284995.84
412138.44 284964.64
412450.36 284928.25
412595.93 284907.46
412772.7 284891.86
412985.85 284891.86
413110.62 284876.26
413297.77 284829.48
413406.95 284798.28
413495.33 284756.69
413614.9 284637.11
413708.48 284559.14
413812.46 284481.15
413900.83 284439.56
414113.99 284325.18
414171.17 284252.4
414233.56 284132.83
414306.34 284039.25
414415.52 283976.86
414685.86 283867.69
414893.81 283794.9
414987.39 283774.11
415164.15 283748.12
415372.11 283742.92
415507.28 283763.71
415642.45 283794.9
415720.43 283815.7
415829.6 283784.51
415897.19 283753.32
415990.77 283758.51
416099.94 283758.51
416245.51 283742.92
416359.88 283696.13
416505.45 283555.76
416661.41 283394.6
416822.58 283295.82
417040.93 283202.24
417248.88 283150.25
417498.43 283072.27
