417479.97 283064.73
417298.67 283120.52
417075.53 283185.6
416912.81 283246.04
416791.95 283292.53
416680.38 283348.31
416568.8 283464.53
416452.58 283580.76
416382.85 283659.78
416308.47 283710.92
416229.44 283734.16
416136.47 283734.16
416024.89 283734.16
415899.37 283734.16
415806.39 283776
415745.96 283789.95
415639.04 283780.65
415532.11 283748.11
415448.43 283729.51
415276.43 283729.51
415136.97 283743.46
414932.42 283766.7
414853.39 283794.6
414709.27 283841.08
414495.43 283934.06
414314.13 284008.44
414193.25 284068.88
414100.27 284120.01
413984.06 284250.18
413863.19 284408.24
413751.62 284501.22
413574.96 284645.33
413449.44 284761.56
413356.46 284803.4
413203.06 284840.58
413040.35 284873.13
412835.8 284873.13
412687.04 284887.07
412556.87 284905.67
412347.67 284924.26
412110.58 284947.5
411896.73 284975.4
411673.59 285007.94
411441.14 285035.84
411278.44 285045.13
411148.27 285096.26
